en-US	I tried to return Ms. Chen her umbrella but she wouldn’t take it. I tried to apologize to her but she wouldn’t listen to me, either. Perhaps my professor and my friends will be able to prove what I have said today is the truth.
zh-TW	我試著想要把傘還給陳小姐，但他不願意；我試著要跟他到道歉，他也不接受。也許我的老師和同學可以證明我所言屬實。

zh-TW	好的，那我現在要詢問陳小姐，當天案發的經過。陳小姐，能否請你講述一下當天發生了什麼事。
en-US	 Okay, now I’m going to inquire Mr. Chen what happened on that day. Ms. Chen, can you state what happened on that day?

zh-TW	我那天去鶯歌博物館，當時在下雨，我在進館時，把雨傘放在外面的傘架上，可是當我出來時，傘不見了，我請館方人員幫我找，後來就看到這個外國人把傘拿回來放，當我發現他拿的傘就是我失竊的傘時，我很生氣，有質問他為何要拿我的傘? 難道不知道外面在下雨嗎?怎麼會有人那麼沒有公德心呢?
en-US	When I went to the Yingge ceramics museum, it’s raining. When I entered the museum, I put my umbrella on the umbrella rack. But when I got out, I found that my umbrella was gone. I asked the staff in the museum to look for my umbrella for me but then I saw that foreigner put my umbrella back. When I found what’s on his hand was my umbrella I was so angry and asked him why he took my umbrella. Didn’t he know it’s raining outside? How could someone be so…

zh-TW	請問你那天帶的傘是什麼顏色的? 有什麼特徵?
en-US	what’s the color of the umbrella you brought on that day? Did it have any feature on it?

zh-TW	我當天帶的傘是藍色的，應該是深藍色的。
en-US	 The umbrella I brought that day was blue. I guess navy blue.

zh-TW	提示偵卷(1)第5頁的照片，請問照片中的傘是妳的嗎?
en-US	Please show the investigatory record on page five. Is the umbrella on the picture yours?

zh-TW	對，就是這把傘。
en-US	yes, it was this one.

zh-TW	照片中這把傘是很普通的那種，就是7-11可以買到的那種，妳怎麼確定那把傘是妳的呢?
en-US	the umbrella on the picture was quite normal like the ones you can find in 7-11. How could you be sure that this one belongs to you?

zh-TW	的確，我的傘當初就是在7-11買的，但是我的傘在釦子那邊有點損壞，扣不太起來，這點我當初報案時有特別跟警察解釋過，外國人後來放回傘架上的那把，也有這個特徵，由此可知，是我的傘。
en-US	Yes, indeed. I bought this umbrella in 7-11. But my umbrella was broken a little bit at the place to close the umbrella. According to this point, I did explain to the police station about the button on the umbrella. The umbrella that the foreigner returned had the same characteristics as the one I had.

zh-TW	那請問你，如果對方有悔意，也願意道歉，妳有沒有可能原諒他呢? 畢竟失竊的只是一把傘。
en-US	Will you consider to accept the defendant’s apology if he’s willing to apologize to you? After all, it’s only an umbrella.

zh-TW	什麼叫做「只是」一把傘? 這是一個人有沒有基本道德的問題，如果當天他沒有拿來還，難道要我淋大雨回家嗎? 我不想原諒他。
en-US	what do you mean “only” an umbrella? It’s something related to one’s basic ethics. If he didn’t return the umbrella on that day, he wants me to walk back in the pouring rain? I don’t want to accept his apology.

zh-TW	我了解了，那麼我們會發傳票給被告剛剛提到的三位人士，請他們到庭說明當天事發的經過。下次庭訊定為103年6月19日下午3點，被告和三位證人都應到庭，被告，這個日期你可以嗎?
en-US	I understand. We will send the subpoena to the three witnesses on that day and asked them to come to the court to state the process. The next court day is set at 3pm on June 19th in 2014. The defendant and the three witnesses will have to come to the court. The defendant, is this date okay for you?

en-US	Yes, I will be here.
zh-TW	是，我可以到場

zh-TW	原告陳小姐，下次的庭你可以到、也可以不到，基本上我們要問的是當天跟被告在一起的同學及老師，但如果你要來，也是可以的。
en-US	The plaintiff Ms. Chen, next court you can choose to come or not. Basically we just want to the defendant’s professor and his classmates. You can decide whether you want to come or not.

zh-TW	不用了，這樣我還要請假。
en-US	Well, I don’t think so. I don’t want to ask for extra day off.

zh-TW	我明白了，那今天的庭訊到此為止，請在簽完筆錄後離席。
en-US	I understand. This is the end of the court of today.

zh-TW	今為偷竊案件偵字1425號偵查程序
en-US	null

zh-TW	今為檢察署偵字1425號偷竊案件為通譯，謹當為公正誠實之譯述，謹此此結。
en-US	I am here today for theft case, Case Number 1425 as an interpreter. I promise to faithfully and honestly translate/interpret what is stated in this court. In the case of deliberately making false interpretation, the violation of perjury will apply. 

zh-TW	被告姓名
en-US	Your name please

en-US	Paul Anderson
zh-TW	包 安得森

zh-TW	護照號碼
en-US	Your passport number.

en-US	AC44432189
en-US	AC4432189

zh-TW	通訊地址
en-US	Mailing address

en-US	No. 52, Ho-ping East Road, Section 1, Taipei City
zh-TW	台北市和平東路第一區五十二號

zh-TW	告知權利義務
en-US	I’m going to inform your obligation.

zh-TW	1.你有權保持緘默，毋需違背意志做任何陳述。
en-US	1. You have the right to remain silent and do not have to make any statement against your will.

zh-TW	2.你有權雇用法定辯護人，若你為低收入戶、中低收入戶、原住民或其他符合法律規定者，得請求法律服務。
en-US	2. You have the right to a lawyer. If you come from a low-income family, a medium-and-low-income family, or if you are an aborigine or meet other qualifications set by the law, you may ask the court for legal assistance.

zh-TW	3.你有權請法院調查任何對你有利的證據。
en-US	3. You have the right to ask the court to investigate any evidence which may help you with your case.

zh-TW	被告是否了解以上權利？
en-US	Do you fully understand your rights?

en-US	Yes, I understand.
en-US	Yes, I understand.

zh-TW	原告姓名
en-US	Plaintiff name please

zh-TW	陳小倩
en-US	Xiao Qian Chen

