en-US	Yes, that’s why I asked my colleague for help
zh-TW	是的，這就是為什麼我尋求我同事的幫忙

zh-TW	那你的這位同事，她所扮演的角色就像你的家教囉？
en-US	So your colleague is just like a tutor teaching you?

en-US	She has been not only a tutor but also a true friend.
zh-TW	她不只是我的家教，也是我真心地朋友

zh-TW	你有付錢給她嗎
en-US	Did you pay for her?

en-US	No, I offered to pay her but she declined.
zh-TW	沒有耶，我本來想要付錢給她但她拒絕了。

zh-TW	如果你沒有付錢給她，她為什麼要在半夜應該就寢的時候還不辭辛勞的發簡訊回答你的問題呢？這是不是已經超過了一個同事應該做的事情？
en-US	If you didn’t pay her, why did she texting you during the midnight, and it’s not the right time, isn’t that beyond the co-worker’s relationship?

en-US	That’s why I said she was a very supportive friend. She was using her own time to help me learn Chinese.
zh-TW	所以我才說她真的是我的好朋友。她都利用她所有的花時間來幫助我學中文。

zh-TW	你現在還有在那家補習班教英文嗎？
en-US	Do you still teach English in that cram school？

en-US	Yes, I am still working there. 
zh-TW	是的，我還在那裡工作。

zh-TW	那這位同事也還在那裏服務嗎？
en-US	Does the colleague still working with you in that cram school?

en-US	She is also still working there but we do not team up any more.
zh-TW	她還是在那裡工作，但我們並沒有再合作了。

zh-TW	請問檢察官，有沒有進一步要傳喚的證人或是調查事證？
en-US	The prosecutor, do you have anyone to subpoena, or anything to subpoena?

zh-TW	希望能夠傳訊被告的同事，也就是任職美而美補習班的黃蓉兒以證人身分到庭，說明他與被告之間的關係，以及那些簡訊的撰寫背景及目的。
en-US	I would like to subpoena the witness which means the colleague… the defendant’s colleague to the court. I want her to be the witness of the background and the message, and explain the context

zh-TW	請問告訴人有沒有任何希望本庭代為調查的事證？
en-US	The accuser, do you want the court to help you subpoena anyone?

zh-TW	我聽說美而美補習班針對他們兩個人的關係，有採取一些行動。其中更有試圖說服該女黃蓉兒離職一事，不知道能不能向那個補習班求證這件事情。
en-US	I heard that the Mei-Er-Mei Cram School has taken some actions, one of these is to let Zong-Er Huang to get off …. to leave her work. I would like to subpoena the principle for the… to respond this message.

zh-TW	那請問被告，有沒有任何希望法庭為你調查的事證？現在的情況是，你的碩士學位早就已經在中華民國106年5月就已結束，實在沒有理由以做作業為藉口來解釋你跟黃蓉兒的簡訊互動，尤其是你們的簡訊互動大多在晚上九點鐘以後進行，實在起人疑竇，你有沒有任何證據可以幫助你的案情呢？
en-US	The defendant, do you want the court to help you investigate any evidence? The defendant, your master courses have ended in May, 2017. However, the action between you and your colleague is beyond co-worker’s relationship. And it’s weird that to text the messages after 9:00 p.m. just for asking for the….having with the assignments, do you have any evidence to…for the court to investigate? And verify your suspicion?

en-US	I cannot think of any evidence that the court can investigate on my behalf. As I said, the reason for the communication between my colleague and myself was very simple. I only wanted to improve my language ability and continue to learn Chinese.
zh-TW	基本上，我沒有要法院再進一步調查的證據了。我跟我同事真的就是單純之間的朋友互動。我就只是想要增進我的中文而已。

zh-TW	那本庭訂中華民國107年6月24日下午4點30分進行證人詰問程序，請告訴人、被告都要到庭，如果有必要，雙方都可以請辯護人，明白嗎？
en-US	So the next proceeding will be set on June 24th, 2018. The time is 4:30p.m. We are going to have a witness questioning procedure. For both parties, you have to be here, and you can have your own lawyers. Do you understand?

zh-TW	 我明白。
en-US	I understand.

en-US	I understand, too.
zh-TW	我明白。

zh-TW	今為 刑事庭 審易字2345號 通姦案件之準備程序
