譯文ID	作業ID	原文ID	原文對話序號	語言別	內容
1	294	1	1	en-US	Today, we are here the investigatory procedure of the theft case, case number 1425.
2	294	1	10	en-US	I am here today for the theft case, case number 1425 as an interpreter. I promise to faithfully and honestly interpret what is stated in this court. In the case of deliberately making false interpretation, the violation of perjury will apply.
3	294	1	11	en-US	The defendant, your name, please.
4	294	1	12	zh-TW	Paul Anderson是我的名字。
5	294	1	13	en-US	And your passport number, please.
6	294	1	14	en-US	AC44432189
7	294	1	15	en-US	And your mailing address. 
8	294	1	16	zh-TW	台北市和平東路一段52號
9	294	1	17	en-US	You have the following rights and obligations
10	294	1	18	en-US	First, you have the right to remain silent and do not have to make any statement against your will.
11	294	1	19	en-US	Second, your have the right to a lawyer. If you come from a low-income family, a medium-and-low-income family, or if you are an aborigine or meet other qualifications set by the law, you may ask the court for legal assistance.
12	294	1	20	en-US	Third, you have the right to ask the court to investigate any evidence which may help you with your case.
13	294	1	21	en-US	Do you fully understand your rights?
14	294	1	22	zh-TW	是的，我明白。
15	294	1	23	en-US	The plaintiff, your name, please.
16	294	1	24	en-US	陳小倩is my name.
17	294	1	25	en-US	And your ID number.
18	294	1	26	en-US	H228489212
19	294	1	27	en-US	And your mailing address.
20	294	1	28	en-US	5th-4, No. 132, Xue-Fu Road, Sanxia District, New Taipei City
21	294	1	29	en-US	The incident happened on May 22nd, 2014, and the defendant, Mr. Anderson, took the umbrella of Ms.陳小倩, and the incident happened in Yingge Ceramics Museum. This incident happened without asking for the permission from the plaintiff. When the defendant returned the umbrella, Ms.陳小倩, found that behavior right on the scene. Therefore, the plaintiff filed this case. In today’s procedure, we would like to understand the details on that day. Please explain regarding my questions to help the prosecutor what happened on that day. Do you understand? And later, we will ask the plaintiff about what happened on that day. Do you understand the procedure? 
22	294	1	30	zh-TW	是的，我明白。
23	294	1	31	en-US	I understand.
24	294	1	32	en-US	And first, the defendant, where were you at 4:15 in the afternoon on May 27th, 2014?
25	294	1	33	zh-TW	我在鶯歌陶瓷博物館。
26	294	1	34	en-US	Did you see the plaintiff, Ms. Chen, on that day?
27	294	1	35	zh-TW	是的，我把傘放回傘架時，有看到陳小姐。
28	294	1	36	en-US	 And what happened then on that time?
29	294	1	37	zh-TW	她對我大叫，說我偷了她的雨傘。我想要告訴她，我只是拿到錯的傘。我並沒有想要偷她的傘，我想要解釋，但她根本不聽。
30	294	1	38	en-US	Why did Ms. Chen think that you stole her umbrella?
31	294	1	39	zh-TW	那天我跟同學一起去博物館看一個展覽。當我們看完展覽，有兩位同學說他們很餓。所以我們決定去外面買東西吃，也許是在外面找個地方吃晚餐。當我要離開博物館時，外面正在下雨。我沒有帶傘，所以我想要跟同學借一把傘。因為我有點高，又有點壯，就決定跟我ㄧ個同學Adam借把傘。他的體型跟我差不多。所以我從傘架中拿了一把傘。我跟我的老師，還有幾位同學一起去買麵包。我們回來的時候，陳小姐就看到我，並對我大叫。
32	294	1	40	en-US	Do you mean that the umbrella you borrowed was actually Adam’s? 
33	294	1	41	zh-TW	是的，我以為那把傘是亞當的，我並沒有想要偷任何人的傘。
34	294	1	42	en-US	 Do you remember the color and the shape of the umbrella that you took on that day?
35	294	1	43	zh-TW	我只記得那把傘的顏色，是藍色的，而且不是全新的。
36	294	1	44	en-US	Is the entire umbrella blue?
37	294	1	45	zh-TW	在我的印象中，是藍色的。
38	294	1	46	en-US	Is there anyone who prove what you said?
39	294	1	47	zh-TW	是的，我出博物館的時候，我是跟老師還有兩位同學一起的。我的老師也有提議要借我的傘，因為她的傘有點小，我並沒有拿。我不想要她被淋濕，然後也有兩位同學在旁邊。
40	294	1	48	en-US	Therefore, perhaps, the professor and those two classmates can come to the court to verify what you said is true.
41	294	1	49	zh-TW	也許是吧。
42	294	1	50	en-US	Is there any other evidence that you would like to ask the court to investigate for you?
43	294	1	51	zh-TW	我想要把傘還給陳小姐，但她不想拿；我也試圖想要道歉，但她根本不聽。我的老師跟同學也許可以證實，我說的是真的。
44	294	1	52	en-US	OK. Now, I would like to ask Ms. Chen about the detail of the incident on that day.Ms. Chen, could you please elaborate what happened on that day?
45	294	1	53	en-US	 I went to Yingge Ceramics Museum on that day, and it was raining. When I entered the museum, I put my umbrella in the umbrella rack. However, when I came out form the museum, I found that my umbrella was missing. I asked the staff in the museum to help me find the umbrella, but I later saw putting my umbrella back. When I found that the umbrella he took was actually mine, I was actually very angry, and I asked him why he had taken my umbrella. It was raining at that time. How could he do that?
46	294	1	54	en-US	What color was the umbrella you took on that day, and is there any feature of the umbrella?
47	294	1	55	en-US	The umbrella I took on that day should have been blue, dark blue.
48	294	1	56	en-US	Please show page five on the file one. Is that the umbrella belonging to you?
49	294	1	57	en-US	Yes, it is mine.
50	294	1	58	en-US	The umbrella in this photo is common, and people can buy such an umbrella even at a 7-11. How could you verify that is yours?
51	294	1	59	en-US	Actually, I did buy my umbrella at a 7-11. However, the button on my umbrella is a little broken; therefore, it is hard to buckle it up. In terms of this, I have especially talked about it when I made my record at the police station. And the umbrella, which the foreigner put back to the umbrella rack, also had this feature; therefore, it can be proven that the umbrella is mine.
52	294	1	60	en-US	If the defendant regrets and he is willing to apologize, would you like to forgive him? After all, what you missed was an umbrella.
53	294	1	61	en-US	It is not about what I missed was an umbrella. It is about one’s personality. If he had not taken the umbrella back on that day, I would be totally wet when I got home on that day. I don’t want to forgive him.
54	294	1	62	en-US	 Yes, I understand. And the court will subpoena those three witnesses to the court to testimony what happened on that day. The next court date is set on June 19th, 2014. Is that okay for you on that day, the defendant?
55	294	1	63	zh-TW	是的，我會到庭。
56	294	1	64	en-US	Ms. Chen, you can decide whether to come on the next court date. On the next court date, we will mainly ask the professor and the two fellows on that day. 
57	294	1	65	en-US	It doesn’t matter; otherwise, I have to take a leave from my job.
58	294	1	66	en-US	I understand, and today’s court is dismissed. And the two parties sign on today’s records, and you may leave.
59	86	1	1	en-US	Today we are here for the investigatory procedure of theft case, case number 1425
60	86	1	10	en-US	Today I am here for the theft case, case number 1425 as an interpreter. I promise to faithfully translate what is stated in this court. In the case of deliberately making false interpretation, the violation of perjury will apply. 
61	86	1	11	en-US	The defendant’s name please
62	86	1	12	zh-TW	安德森 侯
63	86	1	13	en-US	your passport number please
64	86	1	14	en-US	AC44432189
65	86	1	15	en-US	your mailing address please
66	86	1	16	zh-TW	台北市和平東路一段52號
67	86	1	17	en-US	I’m going to inform you your rights and obligations
68	86	1	18	en-US	First, you have the right to remain silent and do not have to make any statements against your will.
69	86	1	19	en-US	Second, you have the right to a lawyer. If your financial status falls under the poverty line, you are an aborigine or meet other qualifications set by the law, you may ask the court for legal assistance.  
70	86	1	20	en-US	You have the right to ask the court to investigate any evidence that may help you with your case.
71	86	1	21	en-US	do you fully understand your rights?
72	86	1	22	zh-TW	是，我了解
73	86	1	23	en-US	 the plaintiff’s name please
74	86	1	24	en-US	Shiao Chien Chen
75	86	1	25	en-US	your ID number please
76	86	1	26	en-US	H228489212
77	86	1	27	en-US	your mailing address please
78	86	1	28	en-US	5th floor, room 4, No. 132 Xuefu Road, Sanxia district, New TAIPEI City
79	86	1	29	en-US	The defendant Paul Anderson was accused of stealing the umbrella of Shiao Chien Chen in Yingge Ceramics Museum. This action wasn’t aware by the plaintiff. When you were about to return the umbrella, you were caught by Shiao Chien Chen with the umbrella. Therefore she decided to file this case. Today’s procedure is mainly set to figure out what happened on this day. Please answer my questions so that we can figure out what happened on this day. Do you understand? Later on, I will also question the plaintiff. Do both parties understand the procedure?
80	86	1	30	zh-TW	是我了解
81	86	1	31	en-US	I understand
82	86	1	32	en-US	I have a question for the defendant. Where were you at 4:15pm on May 27th in 2014?
83	86	1	33	zh-TW	我當時在鶯歌陶瓷博物館
84	86	1	34	en-US	did you see the plaintiff Ms. Chen on that time?
85	86	1	35	zh-TW	對，當我要把雨傘放回去的時候，陳小姐就在那
86	86	1	36	en-US	What happened at that time?
87	86	1	37	zh-TW	他對著我大吼，說我偷她雨傘。我試著跟他說我只是拿錯雨傘了，我根本沒偷她雨傘，我試著跟他道歉，但他不想聽我說。
88	86	1	38	en-US	So why did Ms. Chen say you stole her umbrella?
89	86	1	39	zh-TW	在當天我和一些同學到博物館裡面參觀一些展覽，當我們看完參展的物件之後，有個同學說他肚子餓，我們想說要找些東西吃，然後可能找個地方吃晚餐。當我要離開博物館時，我發現當時正在下雨。我沒有帶雨傘，所以我想說跟我ㄧ個同學借。因為我又高又壯，所以想說跟我ㄧ個叫亞當的同學借，他體型跟我比較相似。所以我從傘架拿了一把傘，我和我的教授去買了一些麵包，和我的一些同學。當我們回來的時候，就是陳小姐對我大吼的時候。
90	86	1	40	en-US	do you mean that the umbrella you borrowed belonged to your classmate Adam?
91	86	1	41	zh-TW	對我覺得那是我同學亞當的傘，我並沒有想要偷任何人的傘
92	86	1	42	en-US	do you remember what’s the shape and color of the umbrella you took on that day?
93	86	1	43	zh-TW	我只記得顏色，印象中是藍色的，不是很新
94	86	1	44	en-US	so was the whole umbrella in blue?
95	86	1	45	zh-TW	我印象中是藍色的
96	86	1	46	en-US	can anyone verify what you just said?
97	86	1	47	zh-TW	對當時我走出博物館的時候，我的兩個同學還有老師都和我在一起。我老師甚至還想要借我雨傘，因為他的傘太小了所以我沒有跟他拿，我不想他被淋濕，還有其他兩位同學在場。
98	86	1	48	en-US	These three people can manage to come to the court right?
99	86	1	49	zh-TW	我想是吧
100	86	1	50	en-US	do you have any further evidence that want the court to investigate for you?
101	86	1	51	zh-TW	我試著想要把傘還給陳小姐，但他不願意；我試著要跟他到道歉，他也不接受。也許我的老師和同學可以證明我所言屬實。
102	86	1	52	en-US	 Okay, now I’m going to inquire Mr. Chen what happened on that day. Ms. Chen, can you state what happened on that day?
103	86	1	53	en-US	When I went to the Yingge ceramics museum, it’s raining. When I entered the museum, I put my umbrella on the umbrella rack. But when I got out, I found that my umbrella was gone. I asked the staff in the museum to look for my umbrella for me but then I saw that foreigner put my umbrella back. When I found what’s on his hand was my umbrella I was so angry and asked him why he took my umbrella. Didn’t he know it’s raining outside? How could someone be so…
104	86	1	54	en-US	what’s the color of the umbrella you brought on that day? Did it have any feature on it?
105	86	1	55	en-US	 The umbrella I brought that day was blue. I guess navy blue.
106	86	1	56	en-US	Please show the investigatory record on page five. Is the umbrella on the picture yours?
107	86	1	57	en-US	yes, it was this one.
108	86	1	58	en-US	the umbrella on the picture was quite normal like the ones you can find in 7-11. How could you be sure that this one belongs to you?
109	86	1	59	en-US	Yes, indeed. I bought this umbrella in 7-11. But my umbrella was broken a little bit at the place to close the umbrella. According to this point, I did explain to the police station about the button on the umbrella. The umbrella that the foreigner returned had the same characteristics as the one I had.
110	86	1	60	en-US	Will you consider to accept the defendant’s apology if he’s willing to apologize to you? After all, it’s only an umbrella.
111	86	1	61	en-US	what do you mean “only” an umbrella? It’s something related to one’s basic ethics. If he didn’t return the umbrella on that day, he wants me to walk back in the pouring rain? I don’t want to accept his apology.
112	86	1	62	en-US	I understand. We will send the subpoena to the three witnesses on that day and asked them to come to the court to state the process. The next court day is set at 3pm on June 19th in 2014. The defendant and the three witnesses will have to come to the court. The defendant, is this date okay for you?
113	86	1	63	zh-TW	是，我可以到場
114	86	1	64	en-US	The plaintiff Ms. Chen, next court you can choose to come or not. Basically we just want to the defendant’s professor and his classmates. You can decide whether you want to come or not.
115	86	1	65	en-US	Well, I don’t think so. I don’t want to ask for extra day off.
116	86	1	66	en-US	I understand. This is the end of the court of today.
117	94	1	1	en-US	null
118	94	1	10	en-US	I am here today for theft case, Case Number 1425 as an interpreter. I promise to faithfully and honestly translate/interpret what is stated in this court. In the case of deliberately making false interpretation, the violation of perjury will apply. 
119	94	1	11	en-US	Your name please
120	94	1	12	zh-TW	包 安得森
121	94	1	13	en-US	Your passport number.
122	94	1	14	en-US	AC4432189
123	94	1	15	en-US	Mailing address
124	94	1	16	zh-TW	台北市和平東路第一區五十二號
125	94	1	17	en-US	I’m going to inform your obligation.
